Timestamp,Proyecto,P1,P10,P90,P99,P50_percentil,Comentarios,Nombre
24-06-2026 20:23:27,proyecto_7,9.0,11.0,14.0,16.0,60.0,,ND
24-06-2026 20:25:20,proyecto_7,9.0,9.0,12.0,12.0,65.0,,Lily
24-06-2026 20:26:22,proyecto_7,11.0,11.5,14.0,16.0,50.0,,David
24-06-2026 20:31:16,proyecto_7,10.0,11.0,14.0,16.0,50.0,,Funcional 1
24-06-2026 20:31:33,proyecto_7,10.0,11.0,14.0,15.0,45.0,,Javier
24-06-2026 20:31:48,proyecto_7,10.0,11.0,13.0,15.0,50.0,,Guillermo
24-06-2026 20:31:49,proyecto_7,10.0,12.0,14.0,20.0,60.0,,HIR
24-06-2026 20:31:57,proyecto_7,9.0,10.0,15.0,17.0,50.0,"Peor caso por restricciones del dueño del área para ingresar a materializar obras a cada sector",EA
24-06-2026 20:32:00,proyecto_7,9.0,9.0,20.0,20.0,50.0,"Aún en indefiniciones del alcance a ejecutar e itemizado",Fdo
24-06-2026 20:32:20,proyecto_7,11.0,11.5,14.0,16.0,50.0,,David
24-06-2026 20:32:29,proyecto_7,11.0,11.5,14.0,15.0,50.0,,CPI
24-06-2026 20:32:33,proyecto_7,11.0,11.5,14.0,15.0,50.0,,JC
24-06-2026 20:32:35,proyecto_7,11.0,11.5,14.0,15.0,50.0,,Cherie
24-06-2026 20:32:59,proyecto_7,11.0,11.5,14.0,15.0,50.0,"Se consideran cambios en licitación/Adjudicación de contrato CC-145",Matias
24-06-2026 20:34:04,proyecto_7,11.0,12.0,17.0,18.0,35.0,"Riesgos en cumplimiento de entrega de áreas por DCh. Riesgos en integración de equipos. Riesgos en puesta en marcha de equipos",Cholo
24-06-2026 20:35:32,proyecto_7,11.0,11.5,14.0,16.0,50.0,"Falta el análisis de la licitación se ajustará el modelo determinístico",F M
24-06-2026 20:47:37,Paquete_1,20.0,22.0,30.0,34.7,50.0,,David
24-06-2026 20:57:31,Paquete_1,18.0,18.0,28.0,40.0,50.0,,Lily
24-06-2026 20:57:40,Paquete_1,18.0,18.0,28.0,28.0,50.0,,Lily
24-06-2026 20:59:18,Paquete_1,18.0,20.0,30.0,32.0,60.0,,EA
24-06-2026 20:59:20,Paquete_1,18.0,21.0,28.0,40.0,50.0,,HIR
